Númer,Heiti,Einingar,Kennslumisseri,Námstig,Slóð
ASK114F,Term Paper: Small States and Governance in International and Regional Organizations,2,Haust,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70693420176&kennsluar=2017
MAN329G,Trú og töfrar,10,Vor,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70693520180&kennsluar=2017
MAN330G,Inngangur að líffræðilegri mannfræði,10,Haust,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70693620176&kennsluar=2017
MAN331G,Nútímakenningar (Mannfræðikenningar II),10,Haust,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70693720176&kennsluar=2017
MAN204G,Etnografía II,10,Vor,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70693920180&kennsluar=2017
MAN501G,Stafræn mannfræði: Internet og sýndarveruleiki,10,Haust,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70694620176&kennsluar=2017
MAN433G,"Hagræn mannfræði: Neysla, markaður og menning",10,Vor,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70694720180&kennsluar=2017
MAN601M,Mannfræði lista,10,Haust,Grunnnám / Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70694920176&kennsluar=2017
MAN602M,Stríðsátök og friðarferli,10,Vor,Grunnnám / Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70695020180&kennsluar=2017
SAF503M,"Söfn og bókmenntir: rithöfundar, fataskápar og ferðamenn",5,Haust,Grunnnám / Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70695220176&kennsluar=2017
GFR211G,Samtíðar- og bókmenntasaga frumkristni,10,Vor,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70696720180&kennsluar=2017
FRA422M,Bókmenntaþýðingar úr frönsku,10,Vor,Grunnnám / Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70697720180&kennsluar=2017
SAG425G,Skjalalestur 1550-1850,5,Vor,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70698020180&kennsluar=2017
ENS134G,"Viðskipta-, ferðamála- og lagaenska",5,Haust,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70698520176&kennsluar=2017
ENS344M,Tileinkun orðaforða: Rannsóknir og kenningar,10,Haust,Grunnnám / Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70699120176&kennsluar=2017
UAU114F,Starfsþjálfun í umhverfis- og auðlindafræði,6,Haust,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70700620176&kennsluar=2017
UAU243F,Starfsþjálfun í umhverfis- og auðlindafræði,6,Vor,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70700620180&kennsluar=2017
UAU114F,Starfsþjálfun í umhverfis- og auðlindafræði,6,Sumar,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70700620183&kennsluar=2017
ABF060F,"Málstofa: Minni, sjálf og frásögn",5,Haust,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70700820176&kennsluar=2017
ABF061F,"Málstofuverkefni: Minni, sjálf og frásögn",5,Haust,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70700920176&kennsluar=2017
LÖG169F,Lögfræðirannsóknir á meistarastigi,2,Haust,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70701420176&kennsluar=2017
LÖG151F,Seminar,2,Haust,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70701520176&kennsluar=2017
LÖG278F,Seminar,2,Vor,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70701520180&kennsluar=2017
